,text,rate
0,"Красивый, отличный экран, богатый функционал Как бы не оптимизировали, лаги при использовании есть практически постоянно. Плавности iOs тут нет и не было. В целом устройством доволен. После 10 лет использования устройств на iOS рад новым впечатлениям. ",5
1,"Самый большой плюс алюминиевый корпус. Нет возможности записывать разговоры,  нет встроенного радио. Это Нокиа, только положительные впечатления.",4
2,Удобен в эксплуатации.  Почти все заводские приложения используются. Во время зарядки  значок батареи неподвижен. Звук динамика и громкой связи слабые. На улице очень плохая слышимость во время разговора. 4+,4
3,крутой телефон он наверно новый.:) у меня нету минусов нармальный,5
4,Роскошная камера. Невероятный дисплей. Прекрасный процессор. Перешел на данный аппарат после iphone7. Пользуюсь до сей поры. Мечтаю купить s9 нет. Лучший телефон в моей жизни . ,5
5,"Удобство использования 1 рукой
Камера
Стереодинамики
Металлический корпус
Защита от воды
NFC
 Сильно греется
Даже спустя годы высокая цена
Слабая батарея Пользуюсь семеркой после iphone se 1 поколения. Впечатление от телефона весьма положительные, аккуратно собран, чувствуется качество во всех отношениях. Телефон вполне себе компактный, даже спустя 4 года после презентации не потерял своей актуальности(это сугубо личное мнение). Понравилась сенсорная кнопка Home, привык быстро. Нет люфта и скрипа по сравнению с механической. Звук-выше всяких похвал, хоть я и не меломан. Динамики вполне громкие и чистые. У жены Honor 20 pro и рядом не стоит, хотя разница между телефонами почти 4 года. Очень нравится телефон в металлическом корпусе, сейчас все на стекло перешли или дешевый китайский пластик. Чувствуется более надежным что ли. Камера на должном уровне, nfc есть. Для нетребовательного пользователя телефон подходит более чем. Из недостатков могу отметить слабую автономность и сильный нагрев. А так телефоном доволен, за 24000 рублей так и не смог найти достойную альтернативу. ",5
6,"Удобный, хороший экран, всё очень продумано.  Автономность работы Пользуюсь полтора года. За это время косяков за аппаратом не обнаружилось. Огорчает время работы от батареи - но это уже детали. Сейчас нет ни одного смартфона, который проработал бы месяц с полной нагрузкой от одной зарядки. ",5
7,"Бренд,нет рамки,дисплей. Нет Лучшая модель на рынке ",5
8,"Экран Отвратительное время работы от батареи,4.5 часа экранного времени максимум что получалось выжать.
Он греется градусов до 39-41.
Очень легко царапается,особенно задняя крышка.
Прирывается связь вовремя разговора,приходится перезванивать
Быстрая зарядка не очень то и быстрая
 Полное разочарование ",1
9,"Шустрый, железа хватает для всего.  Весьма приличная автономность, на день хватает (при том, что использую очень интенсивно). Хорошо контачит по синему зубу с аксессуарами, никаких сбоев. Качество приема 4г и вай-вай выше среднего. Камера отличная. И фронталка тоже. Интерфейс. Ну не нравится мне Самсовая оболочка, хотя привык более-менее. Защитное стекло прочное, царапается неохотно, но очень легко колется. Ну и сто раз обсужденный пальцевый сканер. В целом хорошо, покупать можно за ту цену, которую сейчас продается.",4
10,"Большой и яркий дисплей
Стильный дизайн
Металлический корпус
Высокие прочность и качество сборки
Громкие и очень качественные стерео-динамики
Поддержка Dolby Atmos
Не самая лучшая, но идеально подходящая для повседневных нужд камера
Адекватная цена
Большое количество памяти (RAM и ROM)
Своевременно обновляющаяся версия Android Емкости батареи не особо хватает
Большой вес смартфона
Слабый процессор, совсем не для игр Купил китайскую версию смартфона с 6 ГБ оперативной и 64 ГБ внутренней памяти. Ничуть не пожалел. Удивило, что присутствовал русский язык и предустановленные сервисы гугл &quot;из коробки&quot;. Смартфон отлично подходит для любых задач. Несмотря на слабый процессор, ничего не глючит, все программы летают, оптимизация просто на высоте, тормозят только тяжелые игры, что вполне естественно. Как по мне, это просто идеальный смартфон в своей ценовой категории по соотношению ценакачество",5
11,Лучше намного чем Айфон X Цена Абсолютно хороший,5
12,Почти всем доволен.За 16 т достойный гаджет. При андроиде10 были проблемы с поворотом экрана. В целом доволен.,5
13,"камера, батарея, износостойкось. оболочка MIUI, запись разговоров. Большой шикарно",5
14,"Быстрый, как понос в грозу. Камера отличная, звук шикарный, стерео динамики и наушники.  Большой и тяжелый, рамки широковаты. Надо было по размеру сделать как х, было бы самое то. И заднюю крышку из алюминия.  Впечатления положительные. ",4
15,"Телефон понравился...Нет,правда!За полтора месяца,что он у меня был успел зацепить...и было чем:отличный,крепкий металлический корпус;закаленное стекло,на котором не осталось ни царапинки за время использования,а из рук я его не выпускал;камера из кармана без бубна делает отличные снимки;своевременные обновления чистого андроида;для меня удобное расположение датчика отпечатка;ну и конечно до боли знакомые брэнд и мелодия вызова. А теперь минусы:самый жирный,это то,что через полтора месяца на экране появились битые пиксели и мутные пятна разных цветов,заметно это все было только на чёрном фоне,но раздражало изрядно...Проблемы через полтора месяца это уровень китайского подвала,но никак ни именитого брэнда.Как оказалось буквы nokia на задней крышке не гравировка,а вклеены в пазы...спросите как я узнал?Да-да,они стали из этих пазов вываливаться.При попытке совместить зарядку телефона и просмотр видео андроид уведомил меня,что телефон перегрелся и его нужно отнести в холодильник..хотя нет,про холодильник он ни чего не говорил.В общем греется сильно.При входящем параллельном вызове уведомление об этом напрочь глушит внутреннее ухо,при чем не только то,к которому приложен телефон.Камера,хотя и делает отличные на мой взгляд снимки,включается с задержкой,как то задумчиво.Лично мне не хватает индикатора уведомлений,но это уже так,придирки. Если проигнорировать проблемы с экраном,то на мой взгляд у Global получился неплохой сбалансированный середнячок.Мне помимо внутренних характеристик важны также тактильные ощущения и в этом вопросе у данного девайса всё чётко:хорошо лежит в руке и никакого симбиоза с пластиковыми вставками,чистый металл.И всем бы жить и радоваться,но битые пиксели бьют по репутации.Впечатлившись качеством фотографии начал заглядываться на Nokia 8,но теперь похоже мимо... ",3
16,"Камера, автономность, дизайн, дисплей,  работа интерфейса , скорость интерфейса , динамик, связь .! подсказки которые бесят, хромает связь 4G было бы не плохо как то это справить..! Всем доволен не каких проблем ..!",5
17,"Удобный, работает без глюков, хорошая камера, дешёвый, красивый Быстро разряжается аккумулятор Нравится, но всё портит аккумулятор",4
18,"Супер смартфон,отличается от флагманов только отсутствием датчиком,отпечатков пальца и отсутствием платежки смартфоном. Минусов нет. после,смартфона эйпл,не могу нарадоваться",5
19,"Стильный, красивый дизайн, понравился экран, достаточно яркий, все видно в солнечную погоду. Заряда батареи хватает на полтора дня если не играть и не смотреть много видео. Хороший динамик.  Слабый процессор, подтормаживает, через год пропало тактильное ощущение при нажатии на боковые кнопки.  Неплохой телефон для повседневной жизни, но эти боковые кнопки без ощущения нажатия раздражает.",3
20,"Пользуюсь телефоном уже год, за все это время только 1 раз столкнулся с какой-то проблемой ( заглючил при непонятной мне причине). Любая задача выполняется моментально, фотографии на хорошем уровне, а 4к видео вообще улет, жаль что очень сложно их кому-то передать )) Очень быстрый и самое главное функциональный смартфон, моментальные отклики при разблокировке что лицом, что пальцем. Очень красивый интерфейс и самое главное понятный. Очень приятно, что есть fast charge, реально помогает! Телефон - огонь! При частом использовании батарея не выживает до вечера и приходится подзаряжаться, подзарядка все спасает конечно, но все равно иногда попадаю в неприятную ситуацию. Нет панорамных снимков, для тех кто их любит и делает это конечно проблема, но можно скачать приложения, что решает проблему, но все же. Доволен, даже очень! Жду когда выйдут новые модели, очень нравится линейка oneplus.",5
21,"Плюсов море Минусов нет Все очень нравиться ,пользуюсь уже 2 года.",5
22,"Скорость - очень быстро и чётко Камера - полный хлам За эти деньги огонь, но камера - хлам",4
23,"Очень быстрый отклик,громкий звонок,долго держит батарея,великолепный дизайн и качество изображения. Маркий. До этого было много телефонов,последние iPhone и Samsung,никогда не думал,что Huawei может быть лучше.Признаю был не прав,так быстро у меня ещё не один телефон не работал.Очень доволен.",5
24,"Автономность, сегодня снял с зарядки в 6:40 и на данный момент у меня сейчас 22:05 и ещё осталось 6% заряда,я вообще не ожидал такого результата.  Экран,на солнце плохо видно и камеры меня не впечатлили.  Я бы лучше взял Samsung Galaxy J5(17) может потому что привык этой фирме, но а так в целом P smart неплохой аппарат",4
25,Всё супер Нет Отличные,5
26,"Нет Экран глаза режет, перегрев, батарейка вообще слабая. После с20 ультра, прямо как первые китайцы. Дрянь.",1
27,"Качество сборки
Цена
Чистый андроид
Яркий экран
Батарея Цена
Подтормаживания
Подвисания в браузерах
Микрофон
Сканер отпечатка
 Итак,телефон в пользовании пару месяцев. После недоандроида на nokia xl,этот телефон мне показался просто эталоном,но спустя месяц полтора стал замечать некоторые глюки. Сканер отпечатка не всегда корректно работает,иногда зависает страницы в браузере,очень плохо меня слышит собеседник во время разговора,неудачно расположили микрофон наверно. Не понял как работает разделение экрана. Мало функций для камер. Памяти родной достаточно. В целом всем доволен.",3
28,"Оценка 6.  Смартфон Sony Xperia XZ Dual Platinum (F8332 )  это японский калашников. Андроид 8.0.0. работает как швейцарские часы. Фотокамера основная позволяет делать качественные снимки ночью. Под водой правда не пробовал.... Недостатков пока не обнаружил, хотя будильник приходится убавлять наполовину. Звук очень громкий. Менять на что-то модное, даже на Huawey нет желания, а уж тем более на американский огрызок.",5
29,"Android pay Снимки фото сохраняются после перезагрузки телефона,не понятные настройки,невозможно большим пальцем ответить на входящий вызов(приходится одной рукой держать,а второй разблокировать),не возможно скачать,открыть документы... Трудный",2
30,"Хорошая батарея,держит долго . 
Большой экран,четкие снимки Бывает медленно работает,но это секундный недостаток Советую вам нокию5 , удобный, стильный.",4
31,"Хорошая автономность, хватает на день.  Плохо ловит сеть особенно в дороге  Ничего особенного китаец есть китаец ",2
32,"Удобно лежит в руке, легкий. Работает быстро, без тормозов. Сенсор четко реагирует на движение пальцем. Цветопередача, разрешение экрана на высоком уровне. Хорошая камера.  Аккумулятор можно было сделать большей емкости.  В модели все устраивает. Пользуюсь до сих пор. ",5
33,"Высокая скорость работы;
Удобный размер аппарата;
Достойная автономность;
Отличный экран;
Переключатель звукового режима на торце;
Достаточно громкий;
Джек на 3,5;
Адекватная цена;
Супер быстрый сканер распознавания лица;
И ещё много плюсов) Не совсем недостаток:
Камеру хотелось бы получше, поскольку в вечернее и ночное время фотки так себе;
Не хватает широкоуголки;
Батарею бы 3700-4000mah
 Oneplus - молодцы.
Пользуюсь аппаратом более года. Очень доволен",5
34,Быстрый безглючный. Быстрая зарядка Камера никак не мжет правильно передать цвет лица.  Отличный телефон ,4
35,"Корпус металл.Стекло 2,5D.Тонкий,крепкий,нет скрипов и люфтов Автоповорот экрана работает не корректно(первый раз заметил такое при работе Ютьюба).В др. приложениях замечено не было Замечательный аппарат.",5
36,"внешний вид, крепкий корпус, цена, камера, Эппл Пей, Тач айди. Батарея Пользуюсь полгода, после Самсунга Ноут 2, отличный аппарат за свои деньги",5
37,Отличное соотношение ценакачество. Большой экран и хорошая камера. Не обнаружила. Но я непритязательна))) Я очень довольна. Буквально влюбилась в этот бренд. Следующий будет Mi Max 3)),5
38," Очень  удобный,красивый,качественный просто классный ! Экран царапается быстро. Быстро работает ,классный экран, тачскрин работает даже в дождь. Очень стоящий телефон.",5
39,"Дизайн, лучше палочка, меньше расход батареии, камера. Убрали измерения пульса, он стал ТЕЖЕЛЕЕ и ТОЛЩЕ чем Note 10+,  Мне лучше Note10+ тоже очень отличный девайс, по случаю даже поменяю, если найду пакет. Note10+ мне горяздо больше нравиться, он ультра тонкий и очень легкий, аж рукам не привычно как перешел на Note 20 Ultra, не стоит несколько новшевст такой потери, прошлый мне больше нравился.",4
40,"хорошая сборка, быстро работает, хорошо держит заряд, быстро заряжается.  после Samsung сложная фирменная оболочка MIUI заставляет попотеть. очень много настроек.  хорошо подойдёт тому, кто раньше пользовался смартфоном Xiaomi. если пользовались смартфоном других брендов абсолютно не рекомендую!!!",3
41,"С андроид 10 одни плюсы, нравится оболочка. Не нашёл Никогда не думал что брошу Самсунг, бросил...",5
42,"Качество и дизайн Зарядные устройства. Некачественные кабели они оголяются со временем. За такие деньги пора бы научиться делать зарядки это у меня на 3 устройствах произошло. Да все помешаны на эппл. Хотя если подумать на всех смартах можно играть, смотреть видео и многое другое",3
43,Хорошо держит зарядку Очень большой экран Телефон будуещего,5
44,Отличная модель Нет недостатков Очень рад что купил этот смартфон,5
45,"Прочное стекло, сочная картинка Батареи на день не хватает, камера уступает тому же S20 и P40Pro Цена явно завышена. За эти деньги можно купить приличный флагман. Принципиально ничего нового нет. Не впечатлил. Скудный комплект поставки",4
46,"Быстрый, аккумулятор хороший,камера 64 мп На мой взгляд великоват Классный аппарат",5
47,Металлический корпус. Батарея. Дизайн. Удобство в использовании.  После последнего обновления просто самолёт. Ну конечно Нокия потеряла свою долю рынка но для меня это приятное воспоминания молодости. Когда у тебя спрашивают у тебя какой телефон? Не смартфон. А телефон!!! А ты гордо NOKA !!! ,5
48,"Дисплей отличный, автономность, быстрая зарядка, очень шустрый. Камера супер. Очень хорошо ловит инет и сотовые сети. При разговоре с владельцем данного аппарата не слышно ни каких посторонних шумов. ( очень непривычно, постоянно спрашиваешь: &quot;ты еще тут&quot;!  Приложения работают в фоне после запуска и никакие программы их не останавливают. Сигнальный диод имеет один цвет - красный, не удобно для оповещений. С уведомления пока что не порядок: не совсем адекватно работают.  Рекомендую. За свои 18-20 тр просто супер телефон. ",5
