,pos,neg
0,Всё устраивает. ,Нет
1,"Дизайн, непонимаю почему людям так не нравится чёлка. Но лично я только за! А так все техно логичным плюсы я думаю перечислять не стоит-слишком долго
","Хотя не знаю,для кого то может показаться и плюсом. Задняя крышка стеклянная купил 15 июля есть мизерные царапенки которые сложно увидеть. "
2,"основная камера - шикарная. Хороший дисплей, стабильный и даже удобный интерфейс ! Автономность тоже приличная.",Явных нет.
3, Все шикарно ,Нет
4,"Не знаю почему нет модели на 6128 Гб, но тут плюс в памяти.
Большой и яркий экран
Очень красивый дизайн
Великолепная основная камера","Очень слабый аккумулятор, можно было хотя бы 4000 MAh сделать"
5,"- хорошая камера, получаются живые и красочные фотографии. Интеллектуальная настройка камеры в зависимости от объекта. 
- мощная батарея. Хватает на день при полном использовании телефона. Максимум, на что хватило - 7 дней, но при этом почти не пользовался телефоном. 
- интересное приложение &quot;Здоровье&quot;. 
- большой экран, удобно пользоваться клавиатурой в мессенджерах. 

","- кнопка &quot;пробел&quot; расположена рядом с кнопкой &quot;свернуть все окна&quot;, при наборе часто выходишь из приложения."
6,Все!,Нет беспроводной зарядки. 
7,"Камера, экран, качество материала, единственный телефон в мире с 5G покрытием, очень мощный.",Цена.  Было пару багов при входящем вызове (исправили)
8,"Соотношение цена-качество
NFS система оплаты 
Сканер отпечатка пальца работает лучше чем на многих флагманах
Оригинальный чехол вас порадует удобными функциями (ответ на звонок не открывая чехол и т.д.)
Быстрая зарядка","Батарея всего на 3000
Тихая вибрация звонка
Санкции (хотя кроме шумихи в СМИ никакого влияния на телефон не оказано)"
9,"Сборка , дизаин , быстродействие ,чистая  ОС , камера , оптика , дисплей  -  все на 5 +","Не выявил .  Это скорее дело вкуса ,но мне не очень нравятся медные вставки =)"
10,"Камера, батарея и движок GPU TURBO","Micro usb, да и все. "
11,"Металлический корпус! Крепкий! Отличная цвето-передача. Хорошо держит батарею. Камера вполне, даже рефлексы цветов немного ловит. Приятно сидит в руке.","Неудобная работа с контактами и просмотр вызовов (не знаю, может у всех андроидов так сейчас). 
При просмотре видео через перегруженный браузер (99 вкладок) подтупливает видео.
Снимок камеры тоже может не сразу сработать, может от перегрузки системы, а может ещё от чего-то."
12,"Экран, батарея. ",Нету
13,"Обалденный экран, топовый процессор, nfc....",Нет
14,Отличный смартфон ,Недостатка нет.
15,Отличный телефон. Юзаю месяц. ,"В стандартной комплектации скользковат в руках, надо чехол покупать. "
16,"Камера,хороший айпиэс экран,звук стерео,стабильность системы . Год использование Айфон 8 плюс. ","Железо слабое ,например память,батарея вообще жесть,садиться в момент,закрытая система бесит,нет доступа сортировки фотографий в памяти устройства ,цена не стоит якобы супер телефона,обычный телефон с необычной ценой !"
17,"Качество сборки и материалов. Монолитный, солидный.",Не обновляйт! оставайтесь на 7 андроиде и будет Вам бестормозное счастье(но это косяк операционки а не телефона ;) )
18,Всего один минус перебил все плюсы!,"Вчера вечером полностью заряженный телефон взял и сам выключился, вот так просто взял и выключился....до сих пор никаких признаков жизни. Ни на подключение питания, ни на подключение к компу не реагирует....Поплёлся в сервис!"
19,"Объемная память, приемлемое быстродействие, неплохая камера","не достаточный объем аккумулятора, высокая цена"
20,"Экран, батарея, камера, bluetooth",Не обнаружил
21,"Стильный, быстрый с неплохой камерой.",Пока не нашла
22,обалденный,нет
23,Эта лучший смартфон 2018 года,Огорчает отсутствие индикации пропущенных уведомлений
24,"Отличный телефон.  Быстрый,  шустрый.  Удовлетворяет все требования. ","Говорили что стекло не царапается,  обклеить защитой все равно придется,  появляются царапины"
25,"За 3 года ни одного Глюка, лага и зависания. До этого было много разных андройдов так там это постоянная и систематическая проблема",На мой взгляд синусов нету
26,"Качественный и крепкий пластик, шикарное железо, много быстрой памяти, неплохие камеры, отличная автономность, быстрая зарядка и чехол в комплекте, быстрая разблокировка (инфракрасная по лицу, либо сканер пальца), хороший стерео звук, быстрая работа миуай, качественный ips экран.","Дешевый внешний вид и материалы корпуса, большие рамки (сверху и снизу). Отсутствие нфс и порта инфракрасного. Нет беспроводной зарядки. Комбинированный лоток."
27,"хороший экран,суперская камера,много интересных фишек","фронтальная камера умерла через месяц под гарантию не попала, прожорливый процессор"
